,Calcium,Calories,Cholesterol,Dietary Fiber,Folate,Iron,Magnesium,Niacin,Popularity,Potassium,Protein,Rating,Reference,Region,Saturated Fat,Sodium,Sugars,Thiamin,Title,Total Carbohydrates,Total Fat,Vitamin A,Vitamin B6,Vitamin C
Sambusa,17mg,163,24mg,0.5g,20mcg,1mg,11mg,4mg,43,110mg,8.1g,4.24324321746826,53603/sambusa/,east-african,2.0g,213mg,0g,0mg,Sambusa,10.8g,9.5g,67IU,0mg,1mg
Injera,7mg,166,0mg,3.8g,56mcg,1mg,51mg,3mg,32,102mg,5.1g,3.14285707473755,7070/injera/,east-african,0.0g,28mg,1g,0mg,Injera,32g,1.8g,0IU,0mg,0mg
Ethiopian Vegetable Bowl,91mg,286,0mg,8.6g,71mcg,3mg,76mg,5mg,26,1353mg,6.8g,4.32142877578735,188472/ethiopian-vegetable-bowl/,east-african,1.0g,608mg,10g,0mg,Ethiopian Vegetable Bowl,51.7g,7.4g,6377IU,1mg,65mg
Ethiopian Cabbage and Potato Dish (Atkilt),119mg,336,0mg,9.2g,102mcg,2mg,40mg,2mg,48,653mg,5.8g,4.60714292526245,236247/ethiopian-cabbage-and-potato-dish-atkilt/,east-african,3.0g,673mg,12g,0mg,Ethiopian Cabbage and Potato Dish (Atkilt),40.5g,18.7g,12212IU,0mg,75mg
Mombasa Pumpkin Dessert,32mg,210,0mg,0.9g,24mcg,1mg,24mg,1mg,29,505mg,1.8g,4.03999996185303,14007/mombasa-pumpkin-dessert/,east-african,4.0g,4mg,35g,0mg,Mombasa Pumpkin Dessert,43.2g,4.9g,9778IU,0mg,13mg
Ugandan Kabobs,67mg,382,84mg,1g,27mcg,2mg,24mg,6mg,27,239mg,13.6g,4.45454549789429,14627/ugandan-kabobs/,east-african,9.0g,329mg,2g,0mg,Ugandan Kabobs,17.4g,28.1g,208IU,0mg,3mg
Eba,74mg,290,0mg,1.8g,0mcg,1mg,2mg,0mg,9,743mg,0.9g,4.44444465637207,90191/eba/,east-african,0.0g,16mg,0g,0mg,Eba,70.6g,0.4g,0IU,0mg,0mg
African Chicken in Spicy Red Sauce,58mg,257,85mg,3.5g,19mcg,3mg,52mg,16mg,7,659mg,32.1g,4.0,236742/african-chicken-in-spicy-red-sauce/,east-african,2.0g,887mg,6g,0mg,African Chicken in Spicy Red Sauce,14.9g,6.6g,1335IU,1mg,22mg
Somali Spaghetti Sauce,88mg,546,50mg,6.9g,82mcg,8mg,37mg,11mg,12,930mg,25.7g,4.75,246489/somali-spaghetti-sauce/,east-african,5.0g,818mg,8g,0mg,Somali Spaghetti Sauce,63.9g,20.6g,5392IU,0mg,28mg
Key Sir Alicha (Ethiopian Beets and Potatoes),81mg,486,0mg,12.6g,205mcg,4mg,120mg,7mg,8,2047mg,10.2g,4.25,246338/key-sir-alicha-ethiopian-beets-and-potatoes/,east-african,1.0g,414mg,14g,0mg,Key Sir Alicha (Ethiopian Beets and Potatoes),82.1g,14.6g,50IU,1mg,83mg
Berbere Spice Blend,3mg,3,0mg,0.3g,1mcg,0mg,2mg,0mg,23,20mg,0.1g,5.0,255863/berbere-spice-blend/,east-african,0.0g,&lt; 1mg,0g,0mg,Berbere Spice Blend,0.6g,0.1g,348IU,0mg,1mg
Kik Wat (Ethiopian Red Lentil Stew),76mg,432,0mg,22.2g,306mcg,5mg,91mg,5mg,14,807mg,17.2g,4.2857141494751,245948/kik-wat-ethiopian-red-lentil-stew/,east-african,1.0g,503mg,4g,0mg,Kik Wat (Ethiopian Red Lentil Stew),48.7g,18.3g,292IU,1mg,13mg
Berbere (Ethiopian Spice),21mg,25,0mg,2.8g,8mcg,1mg,14mg,1mg,12,160mg,1.1g,5.0,236741/berbere-ethiopian-spice/,east-african,0.0g,345mg,1g,0mg,Berbere (Ethiopian Spice),4.6g,1.2g,2773IU,0mg,5mg
Tomato Chutney,12mg,33,0mg,1.6g,22mcg,1mg,16mg,1mg,9,297mg,1.3g,3.66666674613953,47440/tomato-chutney/,east-african,0.0g,11mg,1g,0mg,Tomato Chutney,7.4g,0.4g,826IU,0mg,57mg
Rosemary Slices,4mg,37,7mg,0.3g,4mcg,0mg,3mg,0mg,83,12mg,0.6g,4.55555534362793,212868/rosemary-slices/,canadian,1.0g,16mg,3g,0mg,Rosemary Slices,5.2g,1.7g,52IU,0mg,0mg
Butternut Squash Soup II,178mg,305,21mg,9.5g,111mcg,3mg,136mg,6mg,3k,1650mg,6.9g,4.62109184265137,77981/butternut-squash-soup-ii/,canadian,4.0g,1151mg,10g,0mg,Butternut Squash Soup II,59.7g,6.8g,35991IU,1mg,89mg
Old Fashioned Onion Rings,265mg,641,69mg,3.5g,146mcg,4mg,40mg,8mg,1k,328mg,14.3g,4.78520441055298,82659/old-fashioned-onion-rings/,canadian,6.0g,1272mg,8g,1mg,Old Fashioned Onion Rings,68.3g,34.6g,256IU,0mg,4mg
Crispy Orange Beef,122mg,507,60mg,5.9g,197mcg,5mg,79mg,11mg,1k,983mg,27.4g,4.47152853012085,57966/crispy-orange-beef/,canadian,5.0g,651mg,17g,0mg,Crispy Orange Beef,59.2g,18.7g,1280IU,1mg,189mg
Boneless Buffalo Wings,131mg,710,136mg,1.7g,89mcg,4mg,41mg,15mg,1k,389mg,28g,4.80413484573364,151266/boneless-buffalo-wings/,canadian,10.0g,2334mg,4g,0mg,Boneless Buffalo Wings,43.7g,46.9g,751IU,0mg,15mg
Light Oat Bread,9mg,152,0mg,1.3g,70mcg,2mg,12mg,3mg,962,60mg,3.9g,4.73380470275879,7025/light-oat-bread/,canadian,0.0g,216mg,2g,0mg,Light Oat Bread,28.6g,2.3g,78IU,0mg,0mg
Asian Salmon,63mg,388,51mg,0.7g,116mcg,3mg,47mg,14mg,898,481mg,27.9g,4.55126667022705,54702/asian-salmon/,canadian,2.0g,279mg,2g,0mg,Asian Salmon,39.6g,12g,104IU,1mg,1mg
Home Style Macaroni and Cheese,442mg,641,118mg,2.5g,104mcg,3mg,46mg,7mg,744,291mg,22.6g,4.23233699798584,23983/home-style-macaroni-and-cheese/,canadian,25.0g,828mg,6g,0mg,Home Style Macaroni and Cheese,47g,40.4g,1494IU,0mg,2mg
Best Ever Meat Loaf,223mg,409,155mg,1g,40mcg,3mg,36mg,11mg,1k,435mg,28.4g,4.721288681030269,229559/best-ever-meat-loaf/,canadian,10.0g,1227mg,14g,0mg,Best Ever Meat Loaf,22.3g,22.7g,1948IU,0mg,4mg
The Best Steak Marinade,28mg,156,0mg,0.2g,4mcg,1mg,9mg,1mg,1k,188mg,1.2g,4.60772657394409,176770/the-best-steak-marinade/,canadian,2.0g,1135mg,4g,0mg,The Best Steak Marinade,7.8g,13.5g,14IU,0mg,3mg
"Soft, Moist and Gooey Cinnamon Buns",28mg,165,29mg,0.3g,12mcg,0mg,5mg,0mg,1k,60mg,1.1g,4.76506042480469,7176/soft-moist-and-gooey-cinnamon-buns/,canadian,5.0g,143mg,20g,0mg,"Soft, Moist and Gooey Cinnamon Buns",21.2g,8.9g,267IU,0mg,0mg
Greek Lemon Chicken and Potato Bake,142mg,551,103mg,8.5g,73mcg,6mg,95mg,16mg,3k,1252mg,34.8g,4.64174461364746,242402/greek-lemon-chicken-and-potato-bake/,canadian,6.0g,1859mg,3g,0mg,Greek Lemon Chicken and Potato Bake,41.9g,29.1g,1036IU,1mg,49mg
Best Hamburger Ever,171mg,445,174mg,1.2g,25mcg,4mg,38mg,14mg,911,517mg,39g,4.184251785278319,72657/best-hamburger-ever/,canadian,12.0g,967mg,2g,0mg,Best Hamburger Ever,8.8g,27.5g,291IU,1mg,3mg
Three Cheese Manicotti II,837mg,611,96mg,8.2g,122mcg,4mg,99mg,17mg,501,985mg,34g,4.61627912521362,86446/three-cheese-manicotti-ii/,canadian,12.0g,1679mg,24g,0mg,Three Cheese Manicotti II,64.6g,24.1g,1729IU,1mg,6mg
Oma's Rhubarb Cake,59mg,324,50mg,1.2g,51mcg,1mg,12mg,2mg,914,154mg,4.4g,4.77687644958496,161436/omas-rhubarb-cake/,canadian,5.0g,253mg,38g,0mg,Oma's Rhubarb Cake,57.7g,9g,314IU,0mg,3mg
Lisa's Favorite Carne Asada Marinade,31mg,207,25mg,1g,17mcg,2mg,25mg,6mg,776,309mg,15g,4.7175397872924805,186691/lisas-favorite-carne-asada-marinade/,canadian,3.0g,640mg,2g,0mg,Lisa's Favorite Carne Asada Marinade,5.7g,14g,865IU,0mg,17mg
Zucchini Alfredo,115mg,379,72mg,2.8g,149mcg,3mg,56mg,7mg,398,395mg,12.4g,4.26851844787598,52934/zucchini-alfredo/,canadian,7.0g,517mg,3g,1mg,Zucchini Alfredo,44.1g,17.4g,771IU,0mg,7mg
Garlic Aioli,5mg,151,8mg,0.1g,2mcg,0mg,1mg,0mg,595,15mg,0.3g,4.6212873458862305,213608/garlic-aioli/,canadian,2.0g,335mg,0g,0mg,Garlic Aioli,1.5g,16.4g,59IU,0mg,3mg
Christmas Brunch Casserole,301mg,494,217mg,2.9g,45mcg,3mg,51mg,12mg,482,874mg,28.1g,4.39393949508667,15047/christmas-brunch-casserole/,canadian,13.0g,1518mg,6g,0mg,Christmas Brunch Casserole,31.9g,28.6g,663IU,0mg,15mg
Dash's Donair,268mg,489,98mg,0.5g,18mcg,3mg,42mg,10mg,473,554mg,26g,4.63917541503906,71963/dashs-donair/,canadian,10.0g,748mg,48g,0mg,Dash's Donair,49.5g,20.9g,307IU,0mg,3mg
Keligun Chicken,32mg,378,86mg,3.1g,20mcg,3mg,58mg,14mg,19,430mg,25.3g,4.46153831481934,8977/keligun-chicken/,australian-and-new-zealander,14.0g,2531mg,2g,0mg,Keligun Chicken,8.5g,27.4g,239IU,1mg,8mg
Dad's New Zealand Mince Stew,56mg,474,96mg,2.2g,30mcg,4mg,47mg,11mg,50,658mg,21.9g,4.29545450210571,49560/dads-new-zealand-mince-stew/,australian-and-new-zealander,13.0g,935mg,17g,0mg,Dad's New Zealand Mince Stew,25.4g,32.4g,653IU,0mg,16mg
Barbequed Thai Style Chicken,36mg,324,100mg,0.9g,23mcg,3mg,51mg,14mg,79,395mg,32.8g,4.48717927932739,25482/barbequed-thai-style-chicken/,australian-and-new-zealander,6.0g,641mg,4g,0mg,Barbequed Thai Style Chicken,5.9g,18.3g,1035IU,0mg,36mg
Korean Sushi,44mg,492,109mg,2.9g,181mcg,5mg,58mg,12mg,18,485mg,23.1g,4.22222232818604,23954/korean-sushi/,australian-and-new-zealander,6.0g,409mg,3g,0mg,Korean Sushi,58g,17.6g,2951IU,0mg,9mg
Salt and Pepper Squid,54mg,1294,261mg,2.5g,120mcg,67mg,135mg,11mg,22,400mg,24.2g,4.16666650772095,98223/salt-and-pepper-squid/,australian-and-new-zealander,14.0g,5403mg,0g,1mg,Salt and Pepper Squid,110.1g,83.3g,53IU,0mg,5mg
Date Loaf Cake,83mg,204,0mg,1.5g,38mcg,1mg,11mg,2mg,27,130mg,2.2g,4.31034469604492,25568/date-loaf-cake/,australian-and-new-zealander,1.0g,386mg,26g,0mg,Date Loaf Cake,40.8g,4g,167IU,0mg,0mg
Aussie Lime Pie,163mg,444,150mg,1.7g,41mcg,1mg,30mg,2mg,57,271mg,7.5g,4.47169828414917,17346/aussie-lime-pie/,australian-and-new-zealander,12.0g,327mg,43g,0mg,Aussie Lime Pie,60.5g,20.3g,613IU,0mg,7mg
Baked Ziti I,359mg,578,71mg,6g,114mcg,3mg,72mg,15mg,10k,721mg,27.9g,4.70244884490967,11758/baked-ziti-i/,australian-and-new-zealander,13.0g,914mg,14g,0mg,Baked Ziti I,58.4g,25.3g,1135IU,0mg,4mg
Quinoa and Black Beans,41mg,153,0mg,7.8g,61mcg,2mg,35mg,2mg,7k,333mg,7.7g,4.64437437057495,49552/quinoa-and-black-beans/,australian-and-new-zealander,0.0g,517mg,2g,0mg,Quinoa and Black Beans,27.8g,1.7g,362IU,0mg,5mg
Annie's Fruit Salsa and Cinnamon Chips,113mg,312,0mg,5.7g,97mcg,3mg,30mg,4mg,3k,288mg,6.8g,4.77635431289673,26692/annies-fruit-salsa-and-cinnamon-chips/,australian-and-new-zealander,1.0g,462mg,16g,0mg,Annie's Fruit Salsa and Cinnamon Chips,59g,5.9g,56IU,0mg,48mg
Braised Balsamic Chicken,35mg,196,61mg,1.2g,8mcg,2mg,24mg,11mg,6k,209mg,23.8g,4.37646770477295,8665/braised-balsamic-chicken/,australian-and-new-zealander,1.0g,511mg,5g,0mg,Braised Balsamic Chicken,7.6g,7g,329IU,0mg,10mg
Roasted Brussels Sprouts,42mg,104,0mg,3g,68mcg,1mg,23mg,1mg,6k,362mg,2.9g,4.58096694946289,67952/roasted-brussels-sprouts/,australian-and-new-zealander,1.0g,344mg,5g,0mg,Roasted Brussels Sprouts,10g,7.3g,817IU,0mg,70mg
"Awesome Sausage, Apple and Cranberry Stuffing",47mg,235,80mg,2.1g,99mcg,3mg,24mg,3mg,3k,268mg,12.5g,4.76741933822632,13651/awesome-sausage-apple-and-cranberry-stuffing/,australian-and-new-zealander,5.0g,548mg,9g,0mg,"Awesome Sausage, Apple and Cranberry Stuffing",21.7g,11.6g,7756IU,0mg,9mg
Shepherd's Pie VI,128mg,452,65mg,7.3g,65mcg,4mg,81mg,11mg,3k,1443mg,23.1g,4.4586491584777805,24202/shepherds-pie-vi/,australian-and-new-zealander,7.0g,295mg,6g,0mg,Shepherd's Pie VI,52.5g,17g,8674IU,1mg,53mg
Roasted Garlic Cauliflower,86mg,118,4mg,3.6g,81mcg,1mg,24mg,2mg,4k,444mg,4.7g,4.5874319076538095,54675/roasted-garlic-cauliflower/,australian-and-new-zealander,2.0g,111mg,3g,0mg,Roasted Garlic Cauliflower,8.6g,8.2g,91IU,0mg,67mg
Artichoke & Spinach Dip Restaurant Style,138mg,153,28mg,1.4g,37mcg,1mg,22mg,1mg,3k,108mg,6.6g,4.663092136383059,33474/artichoke-spinach-dip-restaurant-style/,australian-and-new-zealander,6.0g,485mg,1g,0mg,Artichoke & Spinach Dip Restaurant Style,5.2g,12.3g,3027IU,0mg,4mg
Artichoke Chicken,181mg,548,96mg,3.8g,7mcg,1mg,29mg,17mg,3k,227mg,34.4g,4.41868782043457,69538/artichoke-chicken/,australian-and-new-zealander,8.0g,1225mg,1g,0mg,Artichoke Chicken,13.4g,39.9g,578IU,1mg,14mg
Strawberry Spinach Salad I,191mg,491,0mg,6.2g,182mcg,4mg,124mg,2mg,3k,725mg,6g,4.772759914398191,14276/strawberry-spinach-salad-i/,australian-and-new-zealander,5.0g,63mg,34g,0mg,Strawberry Spinach Salad I,42.9g,35.2g,6658IU,0mg,110mg
